# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
0;Other;Other;Other;Other;Other	0.000115565725469	2.79748587498e-05	6.02505454044e-06	3.01712361512e-05	1.12725322024e-05	1.28223965234e-05	3.5024966435e-05	4.17541033502e-05	2.16128145836e-05	1.75421397697e-05	2.61390796537e-05	5.38042163478e-06	8.23962853835e-06	7.5e-05	2.4634823192e-05	3.10761862186e-05	0.000233882541009	0.000242790033078	4.05892150121e-05	1.43215595759e-05	1.90631292196e-05	2.87913637036e-05	1.78081703886e-05	5.74999571581e-06	7.59666162073e-06	7.31959666879e-06	3.8037276531e-06	5.72243496052e-05	1.29123833901e-05	4.32742092663e-05	0.000180729182264
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	5.97684841692e-05	0.0	0.0	0.0	0.0	8.87047771958e-07	0.0	0.0	7.69928715653e-06	0.0	0.0	1.69364645427e-05	7.46724493011e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09803081708e-05	0.0	0.00722925572562	0.0	0.0	0.0	0.00014892999512	0.0	7.50358319392e-05	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39658302686e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83646744076e-06	5.68161362258e-05	0.0	0.0	0.0	0.0	0.0	0.00139484124287	0.0	0.0
k__Bacteria;Other;Other;Other;Other;Other	0.00064113669029	0.000737233438815	0.000363826852556	0.000143561917087	9.48630631562e-05	0.00069573142369	9.09626018087e-05	0.000133191930488	0.000656901213992	0.000903784601079	0.000292872183671	0.000284465056077	0.00037180136788	0.00085	0.00159292218147	0.000190230420911	7.20393763885e-05	0.000687472145543	0.00127074369489	0.00075563221413	0.00057690324755	0.000244895617036	0.00114498111926	0.000867226198091	0.000658117256937	0.000106427888623	0.000336387641264	0.000415153529591	0.00157065293201	0.000924106055645	0.00058663549805
k__Bacteria;p__Actinobacteria;Other;Other;Other;Other	1.77161727398e-06	0.0	5.76633429516e-07	3.10957404973e-06	0.0	8.27364489271e-06	0.0	0.0	3.47838185676e-06	4.50852562195e-06	0.0	7.76579468775e-06	0.0	1.25e-05	1.67693513986e-06	1.11781801923e-06	0.0	2.76905525373e-06	8.76862236174e-07	6.42767706322e-07	0.0	5.67293488152e-07	2.05305083354e-06	4.16292003863e-06	1.62835457494e-06	2.75605807417e-06	1.29515224515e-06	1.0135717254e-06	0.0	0.0	5.22207723998e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other;Other	0.0	2.66127463824e-05	7.34595321231e-06	4.57515143751e-07	1.97983448941e-06	2.84920578389e-06	4.1765302264e-06	5.65054753806e-07	0.0	0.0	5.18002950008e-06	1.27917162525e-05	1.51910810125e-06	2.5e-05	1.19855436311e-06	0.0	0.0	0.0	2.55261305105e-06	1.30544894389e-06	2.77591688535e-06	0.0	5.36476068701e-05	5.56883824872e-06	0.0	1.5091970468e-06	1.29515224515e-06	2.04760685948e-06	2.31457027741e-06	0.0	1.35605028745e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0.0	4.17814984725e-05	4.58772592077e-06	1.01703395757e-06	4.29585575434e-05	2.29162934436e-05	7.01466415542e-07	3.36523724685e-05	1.53985743131e-05	1.53153898226e-06	1.2056098759e-05	1.37571081507e-05	1.51910810125e-06	1.25e-05	6.39629682697e-06	2.23563603845e-06	0.0	0.0	3.46066881603e-05	0.0	4.31423250094e-06	1.85686936182e-05	3.76693916107e-05	0.0	1.42647134606e-05	1.34063038552e-05	0.0	1.40214322249e-05	0.0	7.33479129219e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	1.56717991336e-05	7.37176942634e-05	1.78228698531e-05	2.21825432492e-05	2.68673410418e-05	3.55839618862e-05	2.31742255496e-06	6.91144038537e-05	8.41838706371e-05	2.1878482742e-05	4.05678947536e-05	0.000133310442597	1.28023029377e-05	5e-05	1.64777145755e-05	5.58909009613e-06	1.39903465027e-05	1.30729055701e-05	0.000100303343534	2.49760171643e-05	1.64300179541e-05	4.21754331063e-05	0.000798331854847	7.44571736662e-05	2.74317998056e-05	1.78581919536e-05	1.14929120416e-05	5.51311516125e-05	4.52228369583e-05	4.83816688797e-05	0.000106034925089
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	3.97658586244e-06	0.0	8.61862337123e-07	4.98237484897e-06	1.84033081353e-06	0.0	0.0	3.93415531092e-06	0.0	0.0	4.06875609971e-06	0.0	0.0	0.0	3.99209947108e-06	0.0	0.0	1.2204290052e-06	1.00028508125e-06	0.0	1.8506112569e-06	6.68620822457e-07	5.93605679619e-06	8.7849963402e-05	1.49791415454e-06	2.79509310116e-06	1.29515224515e-06	1.63753223892e-06	3.28933042175e-06	2.59362550783e-06	2.04588092564e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella	8.686889746e-07	0.0	2.05973674835e-06	1.62916729643e-05	0.0	1.18901822765e-06	9.14489723879e-07	0.0	8.44181059954e-06	0.0	0.0	0.0	0.0	0.0	1.04104148671e-06	0.0	0.0	0.0	0.0	1.28553541264e-06	7.57821475448e-07	1.18154148628e-06	6.15915250062e-06	2.08146001932e-06	1.62835457494e-06	0.0	0.0	5.06785862702e-07	7.68007640073e-05	2.45632269302e-06	3.17619631434e-06
